station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOAK,2022-12-27 00:00:00,5,349.0,8409.0,-31.3,-33.1,M,M,M,M
KOAK,2022-12-27 00:00:00,5,347.0,8450.0,-31.5,-34.3,M,M,M,M
KOAK,2022-12-27 00:00:00,5,343.0,8532.0,-32.1,-37.1,M,M,M,M
KOAK,2022-12-27 00:00:00,6,342.9,8534.0,M,M,270.0,49,62.0,14.0
KOAK,2022-12-27 00:00:00,5,337.0,8656.0,-33.3,-38.0,M,M,M,M
KOAK,2022-12-27 00:00:00,5,330.0,8803.0,-34.3,-41.3,M,M,M,M
KOAK,2022-12-27 00:00:00,5,322.0,8974.0,-35.9,-39.9,M,M,M,M
KOAK,2022-12-27 00:00:00,6,314.2,9144.0,M,M,285.0,46,65.0,15.0
KOAK,2022-12-27 00:00:00,5,313.0,9170.0,-37.1,-40.2,M,M,M,M
KOAK,2022-12-27 00:00:00,4,300.0,9470.0,-39.3,-42.3,280.0,59,67.0,16.0
KOAK,2022-12-27 00:00:00,5,297.0,9539.0,-39.7,-42.9,M,M,M,M
KOAK,2022-12-27 00:00:00,6,274.8,10058.0,M,M,270.0,66,70.0,18.0
KOAK,2022-12-27 00:00:00,5,259.0,10455.0,-48.1,-52.6,M,M,M,M
KOAK,2022-12-27 00:00:00,5,257.0,10506.0,-48.5,-52.2,M,M,M,M
KOAK,2022-12-27 00:00:00,4,250.0,10690.0,-50.3,-53.9,280.0,71,73.0,20.0
KOAK,2022-12-27 00:00:00,5,242.0,10901.0,-52.3,-55.7,M,M,M,M
KOAK,2022-12-27 00:00:00,5,225.0,11366.0,-56.7,-60.7,M,M,M,M
KOAK,2022-12-27 00:00:00,5,205.0,11948.0,-61.7,-66.0,M,M,M,M
KOAK,2022-12-27 00:00:00,4,200.0,12100.0,-62.9,-68.9,280.0,90,79.0,26.0
KOAK,2022-12-27 00:00:00,6,197.0,12192.0,M,M,285.0,90,79.0,26.0
KOAK,2022-12-27 00:00:00,5,197.0,12193.0,-63.3,-70.3,M,M,M,M
KOAK,2022-12-27 00:00:00,5,187.0,12511.0,-65.3,-71.3,M,M,M,M
KOAK,2022-12-27 00:00:00,5,183.0,12642.0,-64.5,-73.5,M,M,M,M
KOAK,2022-12-27 00:00:00,6,169.5,13106.0,M,M,290.0,53,83.0,29.0
KOAK,2022-12-27 00:00:00,6,161.1,13411.0,M,M,290.0,43,83.0,30.0
KOAK,2022-12-27 00:00:00,5,151.0,13804.0,-67.7,-79.7,M,M,M,M
